Pclass,Sex,Age,SibSp,Fare,Parch,Cabin,Embarked,Survived
3,male,22.0,1,7.25,0,,S,0
1,female,38.0,1,71.2833,0,C85,C,1
3,female,26.0,0,7.925,0,,S,1
1,female,35.0,1,53.1,0,C123,S,1
3,male,35.0,0,8.05,0,,S,0
3,male,,0,8.4583,0,,Q,0
1,male,54.0,0,51.8625,0,E46,S,0
3,male,2.0,3,21.075,1,,S,0
3,female,27.0,0,11.1333,2,,S,1
2,female,14.0,1,30.0708,0,,C,1
3,female,4.0,1,16.7,1,G6,S,1
1,female,58.0,0,26.55,0,C103,S,1
3,male,20.0,0,8.05,0,,S,0
3,male,39.0,1,31.275,5,,S,0
3,female,14.0,0,7.8542,0,,S,0
2,female,55.0,0,16.0,0,,S,1
3,male,2.0,4,29.125,1,,Q,0
2,male,,0,13.0,0,,S,1
3,female,31.0,1,18.0,0,,S,0
3,female,,0,7.225,0,,C,1
2,male,35.0,0,26.0,0,,S,0
2,male,34.0,0,13.0,0,D56,S,1
3,female,15.0,0,8.0292,0,,Q,1
1,male,28.0,0,35.5,0,A6,S,1
3,female,8.0,3,21.075,1,,S,0
3,female,38.0,1,31.3875,5,,S,1
3,male,,0,7.225,0,,C,0
1,male,19.0,3,263.0,2,C23 C25 C27,S,0
3,female,,0,7.8792,0,,Q,1
3,male,,0,7.8958,0,,S,0
1,male,40.0,0,27.7208,0,,C,0
1,female,,1,146.5208,0,B78,C,1
3,female,,0,7.75,0,,Q,1
2,male,66.0,0,10.5,0,,S,0
1,male,28.0,1,82.1708,0,,C,0
1,male,42.0,1,52.0,0,,S,0
3,male,,0,7.2292,0,,C,1
3,male,21.0,0,8.05,0,,S,0
3,female,18.0,2,18.0,0,,S,0
3,female,14.0,1,11.2417,0,,C,1
3,female,40.0,1,9.475,0,,S,0
2,female,27.0,1,21.0,0,,S,0
3,male,,0,7.8958,0,,C,0
2,female,3.0,1,41.5792,2,,C,1
3,female,19.0,0,7.8792,0,,Q,1
3,male,,0,8.05,0,,S,0
3,male,,1,15.5,0,,Q,0
3,female,,0,7.75,0,,Q,1
3,male,,2,21.6792,0,,C,0
3,female,18.0,1,17.8,0,,S,0
3,male,7.0,4,39.6875,1,,S,0
3,male,21.0,0,7.8,0,,S,0
1,female,49.0,1,76.7292,0,D33,C,1
2,female,29.0,1,26.0,0,,S,1
1,male,65.0,0,61.9792,1,B30,C,0
1,male,,0,35.5,0,C52,S,1
2,female,21.0,0,10.5,0,,S,1
3,male,28.5,0,7.2292,0,,C,0
2,female,5.0,1,27.75,2,,S,1
3,male,11.0,5,46.9,2,,S,0
3,male,22.0,0,7.2292,0,,C,0
1,female,38.0,0,80.0,0,B28,,1
1,male,45.0,1,83.475,0,C83,S,0
3,male,4.0,3,27.9,2,,S,0
1,male,,0,27.7208,0,,C,0
3,male,,1,15.2458,1,,C,1
2,female,29.0,0,10.5,0,F33,S,1
3,male,19.0,0,8.1583,0,,S,0
3,female,17.0,4,7.925,2,,S,1
3,male,26.0,2,8.6625,0,,S,0
2,male,32.0,0,10.5,0,,S,0
3,female,16.0,5,46.9,2,,S,0
2,male,21.0,0,73.5,0,,S,0
3,male,26.0,1,14.4542,0,,C,0
3,male,32.0,0,56.4958,0,,S,1
3,male,25.0,0,7.65,0,F G73,S,0
3,male,,0,7.8958,0,,S,0
3,male,,0,8.05,0,,S,0
2,male,0.83,0,29.0,2,,S,1
3,female,30.0,0,12.475,0,,S,1
3,male,22.0,0,9.0,0,,S,0
3,male,29.0,0,9.5,0,,S,1
3,female,,0,7.7875,0,,Q,1
1,male,28.0,0,47.1,0,,S,0
2,female,17.0,0,10.5,0,,S,1
3,female,33.0,3,15.85,0,,S,1
3,male,16.0,1,34.375,3,,S,0
3,male,,0,8.05,0,,S,0
1,female,23.0,3,263.0,2,C23 C25 C27,S,1
3,male,24.0,0,8.05,0,,S,0
3,male,29.0,0,8.05,0,,S,0
3,male,20.0,0,7.8542,0,,S,0
1,male,46.0,1,61.175,0,E31,S,0
3,male,26.0,1,20.575,2,,S,0
3,male,59.0,0,7.25,0,,S,0
3,male,,0,8.05,0,,S,0
1,male,71.0,0,34.6542,0,A5,C,0
1,male,23.0,0,63.3583,1,D10 D12,C,1
2,female,34.0,0,23.0,1,,S,1
2,male,34.0,1,26.0,0,,S,0
